cefr_level,n_essays,sequence_length_mean,sequence_length_sd,move_diversity_mean,move_diversity_sd,repetition_rate_mean,repetition_rate_sd
A1,100,3.01,2.176527676661321,1.71,0.9352253550061957,0.30866666666666664,0.3648983992166062
A2,100,4.62,2.662041443416057,2.31,1.0981619170047718,0.4119563492063492,0.36330539006301865
B1,100,4.85,2.934899719519623,1.98,1.0539008827717484,0.5742397928868517,0.36727577803859185
B2,100,4.99,2.8014967139698457,2.21,1.0278446606684524,0.5028077200577201,0.34834498712453293
C1,100,4.94,3.007801304419673,2.29,1.2333333333333336,0.39723043623043625,0.356702093188865
C2,100,4.65,2.524126011357619,1.97,1.009600380988899,0.5237539682539682,0.3841870052004188
